"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag","pc_score","PC_tier","nonecon_tier","econ_tier"
"11317","annales de chirurgie plastique et esthetique",NA,0,NA,NA,0.444,23,NA,NA,NA,0.395867589738639,NA,"Tier III","Tier III"
"11318","qualitative research in psychology",NA,0,NA,NA,0.444,20,1.481,0.00099,NA,1.21365040483779,NA,"Tier III","Tier III"
"11319","metalurgija",NA,0,NA,NA,0.444,20,NA,NA,NA,-0.0986935856545199,NA,"Tier III","Tier III"
"11320","international journal of civil engineering",NA,0,NA,NA,0.444,12,0.624,5e-04,NA,1.18938921654059,NA,"Tier III","Tier III"
"11321","radiation protection dosimetry",NA,0,NA,NA,0.444,58,0.917,0.00714,NA,2.41891167779595,NA,"Tier II","Tier II"
"11322","applied geophysics",NA,0,NA,NA,0.444,15,0.796,0.00083,NA,1.12454788141865,NA,"Tier III","Tier III"
"11323","journal of crosscultural gerontology",NA,0,NA,NA,0.444,33,NA,NA,NA,1.69758743351041,NA,"Tier II","Tier II"
"11324","journal of water and climate change",NA,0,NA,NA,0.444,14,0.917,8e-04,NA,1.53517689594929,NA,"Tier III","Tier III"
"11325","displays",NA,0,NA,NA,0.444,47,1.526,0.00127,NA,1.41833549786301,NA,"Tier III","Tier III"
"11326","congress and the presidency",NA,0,NA,NA,0.444,5,NA,NA,NA,-1.5311307749999,NA,"Tier III","Tier III"
"11327","journal of vacuum science and technology b: nanotechnology and microelectronics",NA,0,NA,NA,0.444,109,NA,NA,NA,2.56714223026173,NA,"Tier II","Tier II"
"11328","interaction studies",NA,0,NA,NA,0.444,29,0.958,0.00066,NA,1.51716872317345,NA,"Tier III","Tier III"
"11329","transactions of the asabe",NA,0,NA,NA,0.444,81,0.975,0.00466,NA,2.547220376561,NA,"Tier II","Tier II"
"11330","canadian entomologist",NA,0,NA,NA,0.444,36,1.264,0.00147,NA,1.3322641939843,NA,"Tier III","Tier III"
"11331","tumu gongcheng xuebao/china civil engineering journal",NA,0,NA,NA,0.444,23,NA,NA,NA,-0.117079804858463,NA,"Tier III","Tier III"
"11332","kew bulletin",NA,0,NA,NA,0.443,27,0.577,0.00081,NA,1.4940131800614,NA,"Tier III","Tier III"
"11333","acm transactions on modeling and computer simulation",NA,0,NA,NA,0.443,39,1,0.00102,NA,1.79408807184861,NA,"Tier II","Tier II"
"11334","earth science frontiers",NA,0,NA,NA,0.443,12,NA,NA,NA,-1.29756969778687,NA,"Tier III","Tier III"
"11335","cpss 2015  proceedings of the 1st acm workshop on cyberphysical system security, part of asiaccs 2015",NA,0,NA,NA,0.443,4,NA,NA,NA,-1.55054088963379,NA,"Tier III","Tier III"
"11336","journal of aggression, maltreatment and trauma",NA,0,NA,NA,0.443,32,NA,NA,NA,1.54283792933807,NA,"Tier III","Tier III"
"11337","journal of the australian mathematical society",NA,0,NA,NA,0.443,28,0.656,0.00174,NA,1.84177918208835,NA,"Tier II","Tier II"
"11338","journal of forensic radiology and imaging",NA,0,NA,NA,0.443,8,NA,NA,NA,-1.417433222859,NA,"Tier III","Tier III"
"11339","journal of water and health",NA,0,NA,NA,0.443,48,1.041,0.00217,NA,2.26302008263509,NA,"Tier II","Tier II"
"11340","die pharmazie",NA,0,NA,NA,0.443,51,NA,NA,NA,1.91902505430428,NA,"Tier II","Tier II"
"11341","horticultura brasileira",NA,0,NA,NA,0.443,15,0.335,9e-04,NA,0.654265512919827,NA,"Tier III","Tier III"
"11342","pattern analysis and applications",NA,0,NA,NA,0.443,43,1.352,0.00146,NA,1.73635551771562,NA,"Tier II","Tier II"
"11343","medical education online",NA,0,NA,NA,0.443,13,1.096,0.00132,NA,1.49766892504157,NA,"Tier III","Tier III"
"11344","european annals of otorhinolaryngology, head and neck diseases",NA,0,NA,NA,0.442,17,NA,NA,NA,-0.676556917001271,NA,"Tier III","Tier III"
"11345","electronics letters",NA,0,NA,NA,0.442,129,1.155,0.02361,NA,2.88123194894795,NA,"Tier II","Tier II"
"11346","recent patents on antiinfective drug discovery",NA,0,NA,NA,0.442,26,NA,NA,NA,1.32465821317225,NA,"Tier III","Tier III"
"11347","bulletin of the menninger clinic",NA,0,NA,NA,0.442,33,0.886,0.00031,NA,0.944793375282021,NA,"Tier III","Tier III"
"11348","malacologia",NA,0,NA,NA,0.442,30,0.943,0.00048,NA,1.3541154315559,NA,"Tier III","Tier III"
"11349","soccer and society",NA,0,NA,NA,0.442,15,NA,NA,NA,-0.841057650040128,NA,"Tier III","Tier III"
"11350","journal of developmental and physical disabilities",NA,0,NA,NA,0.442,33,0.692,0.00122,NA,1.5236702241292,NA,"Tier III","Tier III"
"11351","mathematical medicine and biology",NA,0,NA,NA,0.442,39,NA,NA,NA,1.70039674033014,NA,"Tier II","Tier II"
"11352","acta neurologica scandinavica, supplement",NA,0,NA,NA,0.442,34,NA,NA,NA,1.82989722223981,NA,"Tier II","Tier II"
"11353","journal of vascular access",NA,0,NA,NA,0.442,23,1.048,0.00185,NA,1.75794436737699,NA,"Tier II","Tier II"
"11354","veterinary record",NA,0,NA,NA,0.442,86,1.737,0.00846,NA,2.44112060524544,NA,"Tier II","Tier II"
"11355","anz journal of surgery",NA,0,NA,NA,0.442,64,1.513,0.00527,NA,2.19118628662203,NA,"Tier II","Tier II"
"11356","ethical theory and moral practice",NA,0,NA,NA,0.442,16,NA,NA,NA,-1.1360009848527,NA,"Tier III","Tier III"
"11357","chinese geographical science",NA,0,NA,NA,0.442,20,1.154,0.00127,NA,1.42759373935283,NA,"Tier III","Tier III"
"11358","studies in ethnicity and nationalism",NA,0,NA,NA,0.442,3,NA,NA,NA,-1.59100029188009,NA,"Tier III","Tier III"
"11359","green",NA,0,NA,NA,0.442,11,NA,NA,NA,-1.32683152963639,NA,"Tier III","Tier III"
"11360","cytojournal",NA,0,NA,NA,0.442,21,1.577,0.00056,NA,1.19028018397493,NA,"Tier III","Tier III"
"11361","journal of the international phonetic association",NA,0,NA,NA,0.442,17,0.595,0.00067,NA,1.14409776251128,NA,"Tier III","Tier III"
"11362","journal of psychophysiology",NA,0,NA,NA,0.442,39,0.683,0.00068,NA,1.70178891155649,NA,"Tier II","Tier II"
"11363","ecology of food and nutrition",NA,0,NA,NA,0.442,25,0.922,0.00073,NA,1.68431469023847,NA,"Tier II","Tier II"
"11364","open neurology journal",NA,0,NA,NA,0.442,10,NA,NA,NA,-1.36645702723446,NA,"Tier III","Tier III"
"11365","studies in philosophy and education",NA,0,NA,NA,0.442,20,0.584,0.00086,NA,1.00038623115822,NA,"Tier III","Tier III"
"11366","frontiers of chemical science and engineering",NA,0,NA,NA,0.442,17,1.712,0.00115,NA,1.07744021342626,NA,"Tier III","Tier III"
"11367","nova hedwigia",NA,0,NA,NA,0.441,32,0.941,0.00183,NA,1.90290807699337,NA,"Tier II","Tier II"
"11368","current radiopharmaceuticals",NA,0,NA,NA,0.441,17,NA,NA,NA,-1.11887366649415,NA,"Tier III","Tier III"
"11369","international journal of sexual health",NA,0,NA,NA,0.441,21,0.852,0.00067,NA,1.51845678493781,NA,"Tier III","Tier III"
"11370","leadership and organization development journal",NA,0,NA,NA,0.441,35,0.864,0.00066,NA,1.63562657574944,NA,"Tier II","Tier II"
"11371","journal of political ideologies",NA,0,NA,NA,0.441,24,NA,NA,NA,0.307358432717325,NA,"Tier III","Tier III"
"11372","journal of solution chemistry",NA,0,NA,NA,0.441,54,1.342,0.0029,NA,1.99695819115067,NA,"Tier II","Tier II"
"11373","journal of convex analysis",NA,0,NA,NA,0.441,32,0.496,0.00218,NA,1.84751506024427,NA,"Tier II","Tier II"
"11374","annals of mathematics and artificial intelligence",NA,0,NA,NA,0.441,44,0.807,0.00113,NA,2.00475411787541,NA,"Tier II","Tier II"
"11375","akbc 2013  proceedings of the 2013 workshop on automated knowledge base construction, colocated with cikm 2013",NA,0,NA,NA,0.441,6,NA,NA,NA,-1.54356613652456,NA,"Tier III","Tier III"
"11376","phonetica",NA,0,NA,NA,0.441,32,0.458,0.00044,NA,1.42079235557191,NA,"Tier III","Tier III"
"11377","2013 51st annual allerton conference on communication, control, and computing, allerton 2013",NA,0,NA,NA,0.441,11,NA,NA,NA,-1.32848270202989,NA,"Tier III","Tier III"
"11378","sae international journal of passenger cars  mechanical systems",NA,0,NA,NA,0.441,14,NA,NA,NA,-0.809349698565339,NA,"Tier III","Tier III"
"11379","journal of low frequency noise vibration and active control",NA,0,NA,NA,0.441,15,1.017,0.00031,NA,1.01898370554352,NA,"Tier III","Tier III"
"11380","plpv 2014  proceedings of the 2014 acm sigplan workshop on programming languages meets program verification, colocated with popl 2014",NA,0,NA,NA,0.441,2,NA,NA,NA,-1.71913294245996,NA,"Tier III","Tier III"
"11381","deutsches ärzteblatt international",NA,0,NA,NA,0.441,31,NA,NA,NA,1.25550542920443,NA,"Tier III","Tier III"
"11382","ethics, policy and environmnet",NA,0,NA,NA,0.441,10,NA,NA,NA,-1.35452713665646,NA,"Tier III","Tier III"
"11383","journal of minimal access surgery",NA,0,NA,NA,0.441,19,1.282,9e-04,NA,1.05597003413724,NA,"Tier III","Tier III"
"11384","mountain research and development",NA,0,NA,NA,0.441,44,1.149,0.00128,NA,1.78807682080393,NA,"Tier II","Tier II"
"11385","proceedings of the institution of mechanical engineers, part b: journal of engineering manufacture",NA,0,NA,NA,0.441,44,NA,NA,NA,1.71326214841722,NA,"Tier II","Tier II"
"11386","systems biology in reproductive medicine",NA,0,NA,NA,0.44,36,1.176,0.00125,NA,1.48035698938415,NA,"Tier III","Tier III"
"11387","literacy research and instruction",NA,0,NA,NA,0.44,17,NA,NA,NA,-1.12458916677615,NA,"Tier III","Tier III"
"11388","william and mary quarterly",NA,0,NA,NA,0.44,28,NA,NA,NA,1.28584648619612,NA,"Tier III","Tier III"
"11389","clinical gerontologist",NA,0,NA,NA,0.44,24,0.593,0.00066,NA,1.29845857516459,NA,"Tier III","Tier III"
"11390","bollettino di geofisica teorica ed applicata",NA,0,NA,NA,0.44,19,0.652,0.00089,NA,0.895016913020042,NA,"Tier III","Tier III"
"11391","journal of the chinese medical association",NA,0,NA,NA,0.44,32,1.252,0.00217,NA,1.65969223066079,NA,"Tier II","Tier II"
"11392","memoirs on differential equations and mathematical physics",NA,0,NA,NA,0.44,2,NA,NA,NA,-1.63568751208761,NA,"Tier III","Tier III"
"11393","international journal of immunogenetics",NA,0,NA,NA,0.44,42,1.093,0.00144,NA,1.87367500164163,NA,"Tier II","Tier II"
"11394","vodohospodarsky casopis/journal of hydrology and hydromechanics",NA,0,NA,NA,0.44,15,NA,NA,NA,-0.238684604928322,NA,"Tier III","Tier III"
"11395","journal of ethnic foods",NA,0,NA,NA,0.44,7,NA,NA,NA,-1.50123374627489,NA,"Tier III","Tier III"
"11396","journal of material culture",NA,0,NA,NA,0.44,34,0.932,0.00045,NA,1.35966313559128,NA,"Tier III","Tier III"
"11397","ethnography and education",NA,0,NA,NA,0.44,9,NA,NA,NA,-1.41444977475884,NA,"Tier III","Tier III"
"11398","splash indianapolis 2013: onward! 2013  proceedings of the 2013 international symposium on new ideas, new paradigms, and reflections on programming and software",NA,0,NA,NA,0.44,5,NA,NA,NA,-1.54055250238979,NA,"Tier III","Tier III"
"11399","mechanics of timedependent materials",NA,0,NA,NA,0.44,36,1.014,0.00073,NA,1.43733463096414,NA,"Tier III","Tier III"
"11400","biota neotropica",NA,0,NA,NA,0.44,21,0.734,0.00232,NA,1.55773256516383,NA,"Tier III","Tier III"
"11401","journal of agricultural science and technology",NA,0,NA,NA,0.44,17,0.813,0.00223,NA,1.44082921700513,NA,"Tier III","Tier III"
"11402","psyche",NA,0,NA,NA,0.44,15,NA,NA,NA,-0.509110867093732,NA,"Tier III","Tier III"
"11403","european journal of special needs education",NA,0,NA,NA,0.439,31,0.605,0.00059,NA,1.45357110912497,NA,"Tier III","Tier III"
"11404","gender in management",NA,0,NA,NA,0.439,30,NA,NA,NA,1.23020064482431,NA,"Tier III","Tier III"
"11405","oil and gas science and technology",NA,0,NA,NA,0.439,50,NA,NA,NA,1.85270893249992,NA,"Tier II","Tier II"
"11406","systematic parasitology",NA,0,NA,NA,0.439,40,1.181,0.00141,NA,1.77377152918196,NA,"Tier II","Tier II"
"11407","natural areas journal",NA,0,NA,NA,0.439,35,0.949,0.00082,NA,1.5721958184226,NA,"Tier III","Tier III"
"11408","forest systems",NA,0,NA,NA,0.439,15,0.893,0.00104,NA,1.46747799088777,NA,"Tier III","Tier III"
"11409","journal of the egyptian national cancer institute",NA,0,NA,NA,0.439,16,NA,NA,NA,-0.962839653783185,NA,"Tier III","Tier III"
"11410","rock art research",NA,0,NA,NA,0.439,7,NA,NA,NA,-1.48477023268755,NA,"Tier III","Tier III"
"11411","drug discoveries and therapeutics",NA,0,NA,NA,0.439,13,NA,NA,NA,-1.23142758049284,NA,"Tier III","Tier III"
"11412","international angiology",NA,0,NA,NA,0.439,46,1.37,0.00158,NA,1.56609685565919,NA,"Tier III","Tier III"
"11413","operative orthopadie und traumatologie",NA,0,NA,NA,0.439,22,0.977,0.00075,NA,1.49880372474604,NA,"Tier III","Tier III"
"11414","herpetological journal",NA,0,NA,NA,0.439,30,0.896,0.00067,NA,1.58367486291921,NA,"Tier III","Tier III"
"11415","journal of pseudodifferential operators and applications",NA,0,NA,NA,0.439,10,0.529,0.00056,NA,1.28286527600469,NA,"Tier III","Tier III"
"11416","international journal of crashworthiness",NA,0,NA,NA,0.439,27,0.895,0.00085,NA,1.58508019579061,NA,"Tier III","Tier III"
"11417","journal of coastal conservation",NA,0,NA,NA,0.439,28,0.959,0.00134,NA,1.83420573193529,NA,"Tier II","Tier II"
"11418","translational endocrinology and metabolism",NA,0,NA,NA,0.439,1,NA,NA,NA,-1.95649209082012,NA,"Tier III","Tier III"
"11419","surface and interface analysis",NA,0,NA,NA,0.439,73,1.132,0.0061,NA,2.28246650587521,NA,"Tier II","Tier II"
"11420","journal of pediatric health care",NA,0,NA,NA,0.438,38,1.46,0.00198,NA,1.68963568618428,NA,"Tier II","Tier II"
"11421","journal of primary health care",NA,0,NA,NA,0.438,13,NA,NA,NA,-1.08720455590429,NA,"Tier III","Tier III"
"11422","north american journal of aquaculture",NA,0,NA,NA,0.438,33,0.715,0.00115,NA,1.47016463233254,NA,"Tier III","Tier III"
"11423","journal of laboratory automation",NA,0,NA,NA,0.438,30,NA,NA,NA,1.22222849105578,NA,"Tier III","Tier III"
"11424","acta neurochirurgica, supplement",NA,0,NA,NA,0.438,60,NA,NA,NA,2.2144747373312,NA,"Tier II","Tier II"
"11425","computers in the schools",NA,0,NA,NA,0.438,15,NA,NA,NA,-0.801533852383705,NA,"Tier III","Tier III"
"11426","techniques in hand and upper extremity surgery",NA,0,NA,NA,0.438,25,NA,NA,NA,0.627799205325354,NA,"Tier III","Tier III"
"11427","jundishapur journal of microbiology",NA,0,NA,NA,0.438,14,1.017,0.00168,NA,1.59676952199643,NA,"Tier II","Tier II"
"11428","disaster prevention and management",NA,0,NA,NA,0.438,37,0.963,0.00065,NA,1.63229194291631,NA,"Tier II","Tier II"
"11429","international journal of fluid machinery and systems",NA,0,NA,NA,0.438,6,NA,NA,NA,-1.52554995209444,NA,"Tier III","Tier III"
"11430","differences",NA,0,NA,NA,0.437,23,NA,NA,NA,0.219277599025557,NA,"Tier III","Tier III"
"11431","environmental and ecological statistics",NA,0,NA,NA,0.437,40,0.688,0.00125,NA,1.82106796345812,NA,"Tier II","Tier II"
"11432","2014 ieee international symposium on dynamic spectrum access networks, dyspan 2014",NA,0,NA,NA,0.437,8,NA,NA,NA,-1.44798297260397,NA,"Tier III","Tier III"
"11433","journal of logic and algebraic programming",NA,0,NA,NA,0.437,28,NA,NA,NA,1.67722489667511,NA,"Tier II","Tier II"
"11434","journal of research in international education",NA,0,NA,NA,0.437,15,NA,NA,NA,-0.920863800207386,NA,"Tier III","Tier III"
"11435","journal of international studies",NA,0,NA,NA,0.437,5,NA,NA,NA,-1.5417092068825,NA,"Tier III","Tier III"
"11436","physics of the solid state",NA,0,NA,NA,0.437,38,0.86,0.00522,NA,2.15486773545568,NA,"Tier II","Tier II"
"11437","high pressure research",NA,0,NA,NA,0.437,34,1.059,0.00162,NA,1.92305442145989,NA,"Tier II","Tier II"
"11438","geochemical journal",NA,0,NA,NA,0.437,43,0.991,0.00161,NA,2.05217142597332,NA,"Tier II","Tier II"
"11439","chelonian conservation and biology",NA,0,NA,NA,0.436,22,0.8,0.00084,NA,1.22681794498363,NA,"Tier III","Tier III"
"11440","2014 ieee globecom workshops, gc wkshps 2014",NA,0,NA,NA,0.436,10,NA,NA,NA,-1.40844241318647,NA,"Tier III","Tier III"
"11441","l@s 2014  proceedings of the 1st acm conference on learning at scale",NA,0,NA,NA,0.436,11,NA,NA,NA,-1.3305868437997,NA,"Tier III","Tier III"
"11442","international journal of lifelong education",NA,0,NA,NA,0.436,24,NA,NA,NA,0.635960771835868,NA,"Tier III","Tier III"
"11443","ccamlr science",NA,0,NA,NA,0.436,26,1.429,0.00025,NA,0.714850021809196,NA,"Tier III","Tier III"
"11444","benchmarking",NA,0,NA,NA,0.436,44,NA,NA,NA,1.70313266581814,NA,"Tier II","Tier II"
"11445","international journal of managing projects in business",NA,0,NA,NA,0.436,21,NA,NA,NA,-0.556329326692706,NA,"Tier III","Tier III"
"11446","proceedings of the institution of mechanical engineers part i: journal of systems and control engineering",NA,0,NA,NA,0.436,34,NA,NA,NA,1.83725448144308,NA,"Tier II","Tier II"
"11447","kinesiology",NA,0,NA,NA,0.436,12,0.961,0.00046,NA,1.28979406545033,NA,"Tier III","Tier III"
"11448","journal of nutritional science and vitaminology",NA,0,NA,NA,0.436,44,0.674,0.00146,NA,2.05158282916677,NA,"Tier II","Tier II"
"11449","journal of business strategy",NA,0,NA,NA,0.436,21,NA,NA,NA,0.219637761261252,NA,"Tier III","Tier III"
"11450","human rights quarterly",NA,0,NA,NA,0.436,50,0.641,0.00094,NA,1.87363572334867,NA,"Tier II","Tier II"
"11451","comptes rendus  biologies",NA,0,NA,NA,0.436,69,NA,NA,NA,2.33824897699166,NA,"Tier II","Tier II"
"11452","horticulture journal",NA,0,NA,NA,0.436,28,0.683,8e-05,NA,-0.0662328555565011,NA,"Tier III","Tier III"
"11453","environmental technology and innovation",NA,0,NA,NA,0.436,6,NA,NA,NA,-1.55815065910081,NA,"Tier III","Tier III"
"11454","medicine, healthcare and philosophy",NA,0,NA,NA,0.436,32,NA,NA,NA,1.75867728280898,NA,"Tier II","Tier II"
"11455","ieee power and energy society general meeting",NA,0,NA,NA,0.436,30,NA,NA,NA,1.00343411248269,NA,"Tier III","Tier III"
"11456","interdisciplinary journal of problembased learning",NA,0,NA,NA,0.436,4,NA,NA,NA,-1.56456350703547,NA,"Tier III","Tier III"
"11457","canadian geographer / geographie canadien",NA,0,NA,NA,0.435,38,NA,NA,NA,1.78228571026572,NA,"Tier II","Tier II"
"11458","journal of lasers in medical sciences",NA,0,NA,NA,0.435,9,NA,NA,NA,-1.423473228711,NA,"Tier III","Tier III"
"11459","anales de psicologia",NA,0,NA,NA,0.435,16,0.871,0.00139,NA,1.36335304008791,NA,"Tier III","Tier III"
"11460","international transactions on electrical energy systems",NA,0,NA,NA,0.435,31,1.085,0.00143,NA,1.74373648358258,NA,"Tier II","Tier II"
"11461","anais brasileiros de dermatologia",NA,0,NA,NA,0.435,28,0.978,0.00353,NA,2.20593054944824,NA,"Tier II","Tier II"
"11462","2013 1st international workshop on combining modelling and searchbased software engineering, cmsbse 2013  proceedings",NA,0,NA,NA,0.435,5,NA,NA,NA,-1.58702362328562,NA,"Tier III","Tier III"
"11463","chimia",NA,0,NA,NA,0.435,49,0.948,0.00235,NA,2.31167522254575,NA,"Tier II","Tier II"
"11464","journal of industrial textiles",NA,0,NA,NA,0.435,26,1.75,0.00088,NA,1.31046665134398,NA,"Tier III","Tier III"
"11465","transplantation proceedings",NA,0,NA,NA,0.435,74,0.908,0.01398,NA,2.69173972195831,NA,"Tier II","Tier II"
"11466","gecco 2013  proceedings of the 2013 genetic and evolutionary computation conference",NA,0,NA,NA,0.435,14,NA,NA,NA,-0.962692194174422,NA,"Tier III","Tier III"
"11467","mathematical logic quarterly",NA,0,NA,NA,0.435,22,0.25,0.00139,NA,0.922307456122917,NA,"Tier III","Tier III"
"11468","human and ecological risk assessment (hera)",NA,0,NA,NA,0.435,54,NA,NA,NA,1.98042471156336,NA,"Tier II","Tier II"
"11469","journal of ambient intelligence and humanized computing",NA,0,NA,NA,0.435,16,1.588,0.00088,NA,1.0787360925838,NA,"Tier III","Tier III"
"11470","tourism analysis",NA,0,NA,NA,0.435,24,NA,NA,NA,0.805922307218092,NA,"Tier III","Tier III"
"11471","journal of dispersion science and technology",NA,0,NA,NA,0.435,41,1.591,0.00324,NA,1.99779407763178,NA,"Tier II","Tier II"
"11472","irb",NA,0,NA,NA,0.434,26,NA,NA,NA,0.936723777015055,NA,"Tier III","Tier III"
"11473","international journal of occupational and environmental medicine",NA,0,NA,NA,0.434,11,NA,NA,NA,-1.33362124032749,NA,"Tier III","Tier III"
"11474","american journal of orthopedics",NA,0,NA,NA,0.434,49,NA,NA,NA,1.91977309617467,NA,"Tier II","Tier II"
"11475","early child development and care",NA,0,NA,NA,0.434,31,NA,NA,NA,1.40875584715387,NA,"Tier III","Tier III"
"11476","arya atherosclerosis",NA,0,NA,NA,0.434,9,NA,NA,NA,-1.42456529713532,NA,"Tier III","Tier III"
