"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag"
"10545","software testing verification and reliability",NA,0,NA,NA,"0.498","41","1.588","0.00121",NA
"10546","fuel cells",NA,0,NA,NA,"0.498","57","1.706","0.00292",NA
"10547","journal of environmental pathology, toxicology and oncology",NA,0,NA,NA,"0.498","40",NA,NA,NA
"10548","2013 ieee pes innovative smart grid technologies conference, isgt 2013",NA,0,NA,NA,"0.498","12",NA,NA,NA
"10549","wisec 2014  proceedings of the 7th acm conference on security and privacy in wireless and mobile networks",NA,0,NA,NA,"0.498","7",NA,NA,NA
"10550","educational assessment",NA,0,NA,NA,"0.498","20",NA,NA,NA
"10551","gong cheng li xue/engineering mechanics",NA,0,NA,NA,"0.498","24",NA,NA,NA
"10552","advances in motivation and achievement",NA,0,NA,NA,"0.498","7",NA,NA,NA
"10553","international journal of psychiatry in clinical practice",NA,0,NA,NA,"0.497","26","1.174","0.00115",NA
"10554","european political science",NA,0,NA,NA,"0.497","14","1.292","0.0013",NA
"10555","early childhood education journal",NA,0,NA,NA,"0.497","28",NA,NA,NA
"10556","heat and mass transfer/waerme und stoffuebertragung",NA,0,NA,NA,"0.497","50",NA,NA,NA
"10557","chinese medicine",NA,0,NA,NA,"0.497","28","1.508","0.00097",NA
"10558","methodsx",NA,0,NA,NA,"0.497","7",NA,NA,NA
"10559","keio journal of medicine",NA,0,NA,NA,"0.497","35",NA,NA,NA
"10560","problems of information transmission",NA,0,NA,NA,"0.497","14","0.581","0.00081",NA
"10561","sex education",NA,0,NA,NA,"0.497","23",NA,NA,NA
"10562","journal of psycholinguistic research",NA,0,NA,NA,"0.497","47","0.66","0.00072",NA
"10563","african journal of aids research",NA,0,NA,NA,"0.497","22",NA,NA,NA
"10564","current protocols in pharmacology",NA,0,NA,NA,"0.497","14",NA,NA,NA
"10565","environmental health and preventive medicine",NA,0,NA,NA,"0.497","27","1.133","0.00167",NA
"10566","modern trends in pharmacopsychiatry",NA,0,NA,NA,"0.497","8",NA,NA,NA
"10567","journal of biological regulators and homeostatic agents",NA,0,NA,NA,"0.496","34","1.469","0.00229",NA
"10568","acta chimica sinica",NA,0,NA,NA,"0.496","32","2.131","0.00324",NA
"10569","international journal for ion mobility spectrometry",NA,0,NA,NA,"0.496","16",NA,NA,NA
"10570","journal of circadian rhythms",NA,0,NA,NA,"0.496","21",NA,NA,NA
"10571","algebra universalis",NA,0,NA,NA,"0.496","23","0.625","0.0012",NA
"10572","2014 52nd annual allerton conference on communication, control, and computing, allerton 2014",NA,0,NA,NA,"0.496","9",NA,NA,NA
"10573","pacific conservation biology",NA,0,NA,NA,"0.496","31",NA,NA,NA
"10574","journal of empirical research on human research ethics",NA,0,NA,NA,"0.496","19","1.352","0.00154",NA
"10575","gerontology and geriatrics education",NA,0,NA,NA,"0.496","17",NA,NA,NA
"10576","mineral processing and extractive metallurgy review",NA,0,NA,NA,"0.496","22","1.219","0.00068",NA
"10577","anaesthesia and intensive care",NA,0,NA,NA,"0.496","52","1.695","0.00343",NA
"10578","international journal on interactive design and manufacturing",NA,0,NA,NA,"0.496","14",NA,NA,NA
"10579","lake and reservoir management",NA,0,NA,NA,"0.495","22","1.27","0.00079",NA
"10580","colloquium mathematicum",NA,0,NA,NA,"0.495","10","0.555","0.00245",NA
"10581","inorganica chimica acta",NA,0,NA,NA,"0.495","85","2.002","0.01263",NA
"10582","hematology/oncology and stem cell therapy",NA,0,NA,NA,"0.495","13",NA,NA,NA
"10583","acta botanica hungarica",NA,0,NA,NA,"0.495","13",NA,NA,NA
"10584","zhongguo jiguang/chinese journal of lasers",NA,0,NA,NA,"0.495","28",NA,NA,NA
"10585","anatomy and cell biology",NA,0,NA,NA,"0.495","7",NA,NA,NA
"10586","sociobiology",NA,0,NA,NA,"0.495","33","0.699","9e-04",NA
"10587","measurement science review",NA,0,NA,NA,"0.495","16","1.344","0.00075",NA
"10588","nova mehanizacija sumarstva",NA,0,NA,NA,"0.495","4",NA,NA,NA
"10589","south american journal of herpetology",NA,0,NA,NA,"0.495","5","1.143","0.00069",NA
"10590","surgical neurology international",NA,0,NA,NA,"0.494","18",NA,NA,NA
"10591","doklady mathematics",NA,0,NA,NA,"0.494","19","0.472","0.00425",NA
"10592","2013 ieee online conference on green communications, onlinegreencomm 2013",NA,0,NA,NA,"0.494","6",NA,NA,NA
"10593","american journal of dermatopathology",NA,0,NA,NA,"0.494","62","1.095","0.00361",NA
"10594","phytopathologia mediterranea",NA,0,NA,NA,"0.494","34","1.255","0.00158",NA
"10595","indian journal of psychiatry",NA,0,NA,NA,"0.494","20","0.81","0.00154",NA
"10596","comparative cytogenetics",NA,0,NA,NA,"0.494","13","1.151","0.00077",NA
"10597","current drug delivery",NA,0,NA,NA,"0.494","49","2.516","0.00176",NA
"10598","transportation research record",NA,0,NA,NA,"0.494","76","0.592","0.01672",NA
"10599","proceedings of the jangjeon mathematical society",NA,0,NA,NA,"0.494","14",NA,NA,NA
"10600","statistical journal of the iaos",NA,0,NA,NA,"0.494","10",NA,NA,"1"
"10601","chemical immunology and allergy",NA,0,NA,NA,"0.494","49",NA,NA,NA
"10602","minerals",NA,0,NA,NA,"0.494","13","2.088","0.00129",NA
"10603","journal of interdisciplinary history",NA,0,NA,NA,"0.494","23","0.452","0.00053",NA
"10604","critical asian studies",NA,0,NA,NA,"0.494","25","0.661","0.00077",NA
"10605","western journal of nursing research",NA,0,NA,NA,"0.493","50","1.313","0.0019",NA
"10606","journal of applied communication research",NA,0,NA,NA,"0.493","41","0.308","0.00072",NA
"10607","proceedings of the 6th acm sigspatial international workshop on locationbased social networks, lbsn 2013  held in conjunction with the 21st acm sigspatial gis 2013",NA,0,NA,NA,"0.493","2",NA,NA,NA
"10608","proceedings of the workshop on embedded systems security, wess 2013",NA,0,NA,NA,"0.493","3",NA,NA,NA
"10609","zeitschrift fur psychologie",NA,0,NA,NA,"0.493","25",NA,NA,NA
"10610","evidence and policy",NA,0,NA,NA,"0.493","23","0.907","8e-04",NA
"10611","radiation measurements",NA,0,NA,NA,"0.493","78","1.442","0.0073",NA
"10612","human organization",NA,0,NA,NA,"0.493","43","1.304","0.00107",NA
"10613","eksploatacja i niezawodnosc",NA,0,NA,NA,"0.493","16",NA,NA,NA
"10614","canadian respiratory journal",NA,0,NA,NA,"0.493","44","1.153","0.00181",NA
"10615","e a m: ekonomie a management",NA,0,NA,NA,"0.493","15",NA,NA,"1"
"10616","journal of venomous animals and toxins including tropical diseases",NA,0,NA,NA,"0.493","16","1.447","0.00091",NA
"10617","journal of family planning and reproductive health care",NA,0,NA,NA,"0.493","31","1.519","0.00129",NA
"10618","child indicators research",NA,0,NA,NA,"0.493","16","1.194","0.00103",NA
"10619","experimental and therapeutic medicine",NA,0,NA,NA,"0.493","25","1.261","0.01117",NA
"10620","logical methods in computer science",NA,0,NA,NA,"0.493","21","0.661","0.00337",NA
"10621","plasma physics reports",NA,0,NA,NA,"0.492","35","0.984","0.00188",NA
"10622","bryologist",NA,0,NA,NA,"0.492","42","1.27","0.00095",NA
"10623","american journal of emergency medicine",NA,0,NA,NA,"0.492","70","1.494","0.01349",NA
"10624","chinese journal of geophysics (acta geophysica sinica)",NA,0,NA,NA,"0.492","42",NA,NA,NA
"10625","hispanic journal of behavioral sciences",NA,0,NA,NA,"0.492","53","0.603","0.00081",NA
"10626","pmla",NA,0,NA,NA,"0.492","28",NA,NA,NA
"10627","journal of dermatological case reports",NA,0,NA,NA,"0.492","12",NA,NA,NA
"10628","journal of civil society",NA,0,NA,NA,"0.492","10",NA,NA,NA
"10629","journal of porous media",NA,0,NA,NA,"0.492","27","1.144","9e-04",NA
"10630","journal of medical imaging and radiation oncology",NA,0,NA,NA,"0.492","34","1.189","0.00273",NA
"10631","anthropologie",NA,0,NA,NA,"0.492","26","0.787","0.00058",NA
"10632","journal of physical therapy science",NA,0,NA,NA,"0.492","18",NA,NA,NA
"10633","imaging science in dentistry",NA,0,NA,NA,"0.492","11",NA,NA,NA
"10634","electronic journal of biotechnology",NA,0,NA,NA,"0.492","39","1.527","0.00132",NA
"10635","physical and occupational therapy in pediatrics",NA,0,NA,NA,"0.492","37","0.839","0.00089",NA
"10636","journal of modern optics",NA,0,NA,NA,"0.491","74","1.328","0.00556",NA
"10637","quantum electronics",NA,0,NA,NA,"0.491","37","1.119","0.0031",NA
"10638","technical digest  international electron devices meeting",NA,0,NA,NA,"0.491","88",NA,NA,NA
"10639","journal of arachnology",NA,0,NA,NA,"0.491","41","0.988","0.00106",NA
"10640","mobilization",NA,0,NA,NA,"0.491","27","0.674","9e-04",NA
"10641","journal of the american pharmacists association : japha",NA,0,NA,NA,"0.491","56",NA,NA,NA
"10642","international review of hydrobiology",NA,0,NA,NA,"0.491","44","1.5","0.00091",NA
"10643","international journal of biodiversity science, ecosystems services and management",NA,0,NA,NA,"0.491","18",NA,NA,NA
"10644","cardiology clinics",NA,0,NA,NA,"0.491","47","1.36","0.00145",NA
"10645","journal of elder abuse and neglect",NA,0,NA,NA,"0.491","30",NA,NA,NA
"10646","life sciences in space research",NA,0,NA,NA,"0.491","9",NA,NA,NA
"10647","invasive plant science and management",NA,0,NA,NA,"0.491","21","0.952","0.00117",NA
"10648","musicae scientiae",NA,0,NA,NA,"0.491","21","1.408","0.00075",NA
"10649","criminal justice review",NA,0,NA,NA,"0.491","21",NA,NA,NA
"10650","american quarterly",NA,0,NA,NA,"0.491","27",NA,NA,NA
"10651","medical science monitor basic research",NA,0,NA,NA,"0.491","10",NA,NA,NA
"10652","journal of psychiatric and mental health nursing",NA,0,NA,NA,"0.491","50","1.131","0.00244",NA
"10653","gm crops and food",NA,0,NA,NA,"0.491","15",NA,NA,NA
"10654","international journal of constitutional law",NA,0,NA,NA,"0.491","21",NA,NA,NA
"10655","tropical medicine and health",NA,0,NA,NA,"0.491","12",NA,NA,NA
"10656","british journal for the history of science",NA,0,NA,NA,"0.49","23","0.635","0.00129",NA
"10657","computers and electrical engineering",NA,0,NA,NA,"0.49","40","1.57","0.0039",NA
"10658","ieee transactions on semiconductor manufacturing",NA,0,NA,NA,"0.49","55","1.117","0.00156",NA
"10659","journal of cardiothoracic surgery",NA,0,NA,NA,"0.49","29","1.101","0.00437",NA
"10660","journal of sports medicine and physical fitness",NA,0,NA,NA,"0.49","53","1.215","0.00284",NA
"10661","journal of advanced prosthodontics",NA,0,NA,NA,"0.49","15","1.027","0.00116",NA
"10662","revue de paleobiologie",NA,0,NA,NA,"0.49","26",NA,NA,NA
"10663","korean journal of chemical engineering",NA,0,NA,NA,"0.49","44","2.007","0.00566",NA
"10664","western journal of emergency medicine",NA,0,NA,NA,"0.49","18",NA,NA,NA
"10665","scandinavian journal of pain",NA,0,NA,NA,"0.49","14",NA,NA,NA
"10666","communications in statistics  theory and methods",NA,0,NA,NA,"0.49","41",NA,NA,NA
"10667","global journal of flexible systems management",NA,0,NA,NA,"0.49","13",NA,NA,NA
"10668","annals of transplantation",NA,0,NA,NA,"0.49","32","1.252","0.00215",NA
"10669","african journal of reproductive health",NA,0,NA,NA,"0.49","31","0.7","0.00132",NA
"10670","leukemia research reports",NA,0,NA,NA,"0.49","7",NA,NA,NA
"10671","international journal of qualitative methods",NA,0,NA,NA,"0.489","9","0.641","0.00081",NA
"10672","permanente journal",NA,0,NA,NA,"0.489","14",NA,NA,NA
"10673","rangeland journal",NA,0,NA,NA,"0.489","29","1.211","0.00096",NA
"10674","abstract and applied analysis",NA,0,NA,NA,"0.489","37",NA,NA,NA
"10675","biochemistry research international",NA,0,NA,NA,"0.489","21",NA,NA,NA
"10676","clean  soil, air, water",NA,0,NA,NA,"0.489","47",NA,NA,NA
"10677","saudi journal of gastroenterology",NA,0,NA,NA,"0.489","22","1.368","0.00134",NA
"10678","insect systematics and evolution",NA,0,NA,NA,"0.489","24","1.3","0.00058",NA
"10679","mathematica slovaca",NA,0,NA,NA,"0.489","16","0.346","0.00087",NA
"10680","turk tarim ve ormancilik dergisi/turkish journal of agriculture and forestry",NA,0,NA,NA,"0.489","30",NA,NA,NA
"10681","ieee systems journal",NA,0,NA,NA,"0.489","39","3.882","0.00659",NA
"10682","contemporary nurse",NA,0,NA,NA,"0.489","29","0.836","0.00169",NA
"10683","columbia journal of transnational law",NA,0,NA,NA,"0.489","23","0.714","0.00044",NA
"10684","developing world bioethics",NA,0,NA,NA,"0.489","21","0.898","0.00058",NA
"10685","dermatologic therapy",NA,0,NA,NA,"0.489","54","1.093","0.00209",NA
"10686","virology reports",NA,0,NA,NA,"0.488","2",NA,NA,NA
"10687","pedagogy, culture and society",NA,0,NA,NA,"0.488","16",NA,NA,NA
"10688","developmental neurorehabilitation",NA,0,NA,NA,"0.488","43","1.183","0.00141",NA
"10689","marketing intelligence and planning",NA,0,NA,NA,"0.488","39",NA,NA,NA
"10690","radiation physics and chemistry",NA,0,NA,NA,"0.488","65","1.315","0.00795",NA
"10691","missionalia",NA,0,NA,NA,"0.488","6",NA,NA,NA
"10692","international criminal law review",NA,0,NA,NA,"0.488","16",NA,NA,NA
"10693","organic preparations and procedures international",NA,0,NA,NA,"0.488","36","1.764","6e-04",NA
"10694","advances in virology",NA,0,NA,NA,"0.488","17",NA,NA,NA
"10695","marine georesources and geotechnology",NA,0,NA,NA,"0.488","20","1.159","6e-04",NA
"10696","australasian plant pathology",NA,0,NA,NA,"0.488","42","1.085","0.00167",NA
"10697","topology and its applications",NA,0,NA,NA,"0.488","37","0.377","0.00551",NA
"10698","zhongguo tiedao kexue/china railway science",NA,0,NA,NA,"0.488","21",NA,NA,NA
"10699","literacy",NA,0,NA,NA,"0.488","18","0.622","0.00029",NA
"10700","journal of pipeline systems engineering and practice",NA,0,NA,NA,"0.488","11","1.17","0.00059",NA
"10701","silence",NA,0,NA,NA,"0.488","22",NA,NA,NA
"10702","journal of sexual aggression",NA,0,NA,NA,"0.488","15","1.082","0.00063",NA
"10703","cold spring harbor protocols",NA,0,NA,NA,"0.488","28",NA,NA,NA
"10704","korean journal of family medicine",NA,0,NA,NA,"0.488","11",NA,NA,NA
"10705","acta mechanica solida sinica",NA,0,NA,NA,"0.487","24","0.736","0.00141",NA
"10706","journal of electronic materials",NA,0,NA,NA,"0.487","81","1.579","0.01203",NA
"10707","intelligent service robotics",NA,0,NA,NA,"0.487","19","0.875","0.00035",NA
"10708","recent patents on cns drug discovery",NA,0,NA,NA,"0.487","28",NA,NA,NA
"10709","biomedical engineering online",NA,0,NA,NA,"0.487","51","1.683","0.00496",NA
"10710","contributions to human development",NA,0,NA,NA,"0.487","4",NA,NA,NA
"10711","journal of phase equilibria and diffusion",NA,0,NA,NA,"0.487","40","0.938","0.00113",NA
"10712","cell regeneration",NA,0,NA,NA,"0.487","5",NA,NA,NA
"10713","asiapacific journal of public health",NA,0,NA,NA,"0.487","26","0.811","0.00308",NA
"10714","clinical and experimental otorhinolaryngology",NA,0,NA,NA,"0.487","18","1.149","0.00122",NA
"10715","clinical autonomic research",NA,0,NA,NA,"0.487","50","1.276","0.00163",NA
"10716","cns oncology",NA,0,NA,NA,"0.487","8",NA,NA,NA
"10717","new medit",NA,0,NA,NA,"0.487","12","0.603","2e-04","1"
"10718","european journal of social theory",NA,0,NA,NA,"0.487","38","1.278","0.00097",NA
"10719","journal of statistical mechanics: theory and experiment",NA,0,NA,NA,"0.487","45",NA,NA,NA
"10720","ieee transactions on computeraided design of integrated circuits and systems",NA,0,NA,NA,"0.486","100","1.942","0.00659",NA
"10721","journal of herpetology",NA,0,NA,NA,"0.486","48","0.911","0.00219",NA
"10722","copeia",NA,0,NA,NA,"0.486","55","0.98","0.00197",NA
"10723","2014 ieee international conference on pervasive computing and communications, percom 2014",NA,0,NA,NA,"0.486","11",NA,NA,NA
"10724","protein journal",NA,0,NA,NA,"0.486","43","1.139","0.00151",NA
"10725","avian biology research",NA,0,NA,NA,"0.486","27","0.828","0.00083",NA
"10726","physicochemical problems of mineral processing",NA,0,NA,NA,"0.486","14","0.901","0.00092",NA
"10727","2014 european control conference, ecc 2014",NA,0,NA,NA,"0.486","9",NA,NA,NA
"10728","canadian water resources journal",NA,0,NA,NA,"0.486","26","1.596","9e-04",NA
"10729","radiochimica acta",NA,0,NA,NA,"0.486","59","1.271","0.00234",NA
"10730","archives of psychiatric nursing",NA,0,NA,NA,"0.486","40","1.201","0.00157",NA
"10731","journal of music therapy",NA,0,NA,NA,"0.486","38","1","0.00033",NA
"10732","acta chiropterologica",NA,0,NA,NA,"0.486","28","1.04","0.00085",NA
"10733","new library world",NA,0,NA,NA,"0.486","21",NA,NA,NA
"10734","kennedy institute of ethics journal",NA,0,NA,NA,"0.486","34","1.333","0.00063",NA
"10735","russian mathematical surveys",NA,0,NA,NA,"0.486","31","1.026","0.00326",NA
"10736","veterinary clinical pathology",NA,0,NA,NA,"0.486","41","0.955","0.00215",NA
"10737","journal of drugs in dermatology",NA,0,NA,NA,"0.486","52","1.708","0.0057",NA
"10738","origins of life and evolution of biospheres",NA,0,NA,NA,"0.486","53","1","0.00126",NA
"10739","education and treatment of children",NA,0,NA,NA,"0.485","29","0.571","0.00081",NA
"10740","education and information technologies",NA,0,NA,NA,"0.485","25",NA,NA,NA
"10741","south african journal of international affairs",NA,0,NA,NA,"0.485","9",NA,NA,NA
"10742","middle east policy",NA,0,NA,NA,"0.485","19","0.456","0.00073",NA
"10743","european actuarial journal",NA,0,NA,NA,"0.485","7",NA,NA,"1"
"10744","applied entomology and zoology",NA,0,NA,NA,"0.485","37","0.888","0.00134",NA
"10745","journal of nanoparticle research",NA,0,NA,NA,"0.485","95","2.02","0.02124",NA
"10746","sigmod record",NA,0,NA,NA,"0.485","111","0.875","0.00141",NA
"10747","new astronomy",NA,0,NA,NA,"0.485","61","0.938","0.00246",NA
"10748","continuum lifelong learning in neurology",NA,0,NA,NA,"0.485","21",NA,NA,NA
"10749","international journal of workplace health management",NA,0,NA,NA,"0.485","10",NA,NA,NA
"10750","mathematical modelling of natural phenomena",NA,0,NA,NA,"0.485","22","0.952","0.00231",NA
"10751","journal of internet services and applications",NA,0,NA,NA,"0.485","14",NA,NA,NA
"10752","theoretical chemistry accounts",NA,0,NA,NA,"0.485","90","1.89","0.00748",NA
"10753","pediatric rheumatology",NA,0,NA,NA,"0.485","23","2.283","0.00231",NA
"10754","polity",NA,0,NA,NA,"0.484","19","0.288","0.00056",NA
"10755","advanced steel construction",NA,0,NA,NA,"0.484","15","0.847","0.00051",NA
"10756","polyhedron",NA,0,NA,NA,"0.484","83","1.926","0.01293",NA
